anchor,removed,removed_label,unique_pairs,directional_pairs,full_rho,reduced_rho,full_minus_reduced_rho,caller_range_low,caller_range_high,caller_resamples,remaining_system_pairs_agreed
hsc_msc,allosaurus_rate,Phone rate,294,255,0.221849902621564,0.181152774450862,0.040697128170702,0.016258806267539,0.0689476673417049,2000,4
hsc_msc,sylber_rate,Sylber rate,294,255,0.221849902621564,0.252565844515752,-0.0307159418941885,-0.0767809776341458,0.0113619352445508,2000,5
hsc_msc,sylber_duration,Sylber unit duration,294,255,0.221849902621564,0.230527280132697,-0.0086773775111328,-0.0345632352121915,0.0187053035517461,2000,5
hsc_msc,sylber_npvi,nPVI,294,255,0.221849902621564,0.0865243479831413,0.135325554638423,0.0548237475245373,0.225097442244537,2000,3
hsc_msc,sylber_final_lengthening,Turn-final lengthening,294,255,0.221849902621564,0.280173888136191,-0.0583239855146268,-0.161747543725134,0.0449831404453437,2000,3
hsc_msc,turn_duration,Turn duration,294,255,0.221849902621564,0.224641893547211,-0.0027919909256468,-0.026964515446424,0.0191999869148554,2000,5
hsc_msc,signed_response_gap,Signed response gap,294,255,0.221849902621564,0.20262662844552,0.0192232741760435,-0.0030009604875305,0.0443834023710057,2000,5
hsc_msc,floor_time_share,Floor-time share,294,255,0.221849902621564,0.22541088870615,-0.0035609860845862,-0.0196129807290862,0.0136205008222428,2000,5
hsc_msc,pace,Pace family,294,255,0.221849902621564,0.0021189567099836,0.21973094591158,0.146807762309107,0.288216198137516,2000,3
hsc_msc,rhythm,Rhythm family,294,255,0.221849902621564,0.388415989606548,-0.166566086984984,-0.285087932111861,-0.0528627243766983,2000,3
hsc_msc,interaction,Interaction family,294,255,0.221849902621564,0.207949266061704,0.0139006365598601,-0.0170432857681782,0.0454301016529411,2000,5
hsc_behavior_sd,allosaurus_rate,Phone rate,294,255,0.265690115735833,0.210811154831446,0.0548789609043867,0.0238765270292885,0.0903700883706948,2000,4
hsc_behavior_sd,sylber_rate,Sylber rate,294,255,0.265690115735833,0.331809256227651,-0.066119140491818,-0.100335535224618,-0.0355707292684452,2000,3
hsc_behavior_sd,sylber_duration,Sylber unit duration,294,255,0.265690115735833,0.223094036696917,0.0425960790389161,0.0079081185221018,0.0784827565079321,2000,3
hsc_behavior_sd,sylber_npvi,nPVI,294,255,0.265690115735833,0.160243036475178,0.105447079260655,0.0513186220896613,0.162575080191728,2000,4
hsc_behavior_sd,sylber_final_lengthening,Turn-final lengthening,294,255,0.265690115735833,0.302528835362888,-0.0368387196270547,-0.111152517480641,0.0315433076191132,2000,3
hsc_behavior_sd,turn_duration,Turn duration,294,255,0.265690115735833,0.275555934907423,-0.0098658191715898,-0.0746576054614349,0.0506053253169595,2000,3
hsc_behavior_sd,signed_response_gap,Signed response gap,294,255,0.265690115735833,0.31891078595121,-0.0532206702153769,-0.104984813065936,0.0026472179325574,2000,4
hsc_behavior_sd,floor_time_share,Floor-time share,294,255,0.265690115735833,0.155607668222329,0.110082447513505,0.0794489889812738,0.14548823588054,2000,3
hsc_behavior_sd,pace,Pace family,294,255,0.265690115735833,-0.188516179479488,0.454206295215321,0.357665454605822,0.560317717733833,2000,2
hsc_behavior_sd,rhythm,Rhythm family,294,255,0.265690115735833,0.307191722920003,-0.0415016071841696,-0.108214804458569,0.0221953940178865,2000,3
hsc_behavior_sd,interaction,Interaction family,294,255,0.265690115735833,0.459860917872489,-0.194170802136656,-0.286514010688337,-0.110164678693666,2000,5
