provider,feature,reference_draws,score_mean,score_q025,score_median,score_q975,score_min,score_max,interval_interpretation,rank_of_mean,score_sample_sd
grok,Pitch,50,66.7502051018,60.2552313885,67.3877205041,72.5474547458,59.7970673003,76.1219343103,Empirical range across reference draws; not a confidence interval,1,3.69804353835
inworld,Pitch,50,53.1415600356,49.4822116836,52.9763641626,57.1894497211,49.2750729296,58.736248447,Empirical range across reference draws; not a confidence interval,4,2.24473654209
openai,Pitch,50,64.0137530298,57.9292324787,64.6207092382,69.5216744866,57.3745240997,72.782646404,Empirical range across reference draws; not a confidence interval,3,3.48298569749
gemini,DVector,50,81.4945621806,80.4534661597,81.5153244821,82.5178229369,80.2057162289,82.6495529782,Empirical range across reference draws; not a confidence interval,1,0.546905019733
grok,DVector,50,68.9283379599,67.9940300865,68.8860557556,69.7963223203,67.9386667568,70.4186602026,Empirical range across reference draws; not a confidence interval,4,0.494122066741
inworld,DVector,50,73.6142291136,72.3751965384,73.5831964309,74.5940317647,72.0795767469,74.8112161282,Empirical range across reference draws; not a confidence interval,2,0.650932833312
openai,DVector,50,71.2172421467,69.982877635,71.218907408,72.4352583693,69.8999486942,72.6790145037,Empirical range across reference draws; not a confidence interval,3,0.665599085206
gemini,WeSpeaker,50,67.2939419549,66.6769596243,67.3263870676,67.8634855531,66.43183932,68.0582313239,Empirical range across reference draws; not a confidence interval,2,0.367582526736
grok,WeSpeaker,50,65.1677720046,63.9103356494,65.0966918763,66.2278294655,63.2397850855,66.2706698086,Empirical range across reference draws; not a confidence interval,4,0.66095616036
inworld,WeSpeaker,50,66.1950690039,65.3791437246,66.1156307005,67.1578143025,64.8658277998,67.4418950707,Empirical range across reference draws; not a confidence interval,3,0.482746655798
openai,WeSpeaker,50,69.29583544,67.2333450764,69.2164064337,71.0653682298,66.6820577735,71.5990953489,Empirical range across reference draws; not a confidence interval,1,1.04606785662
gemini,Overall TTSDS2,50,79.5294114892,78.8770625391,79.5317090511,80.1626228649,78.804089242,80.3203250276,Empirical range across reference draws; not a confidence interval,1,0.344318681937
grok,Overall TTSDS2,50,77.6813871838,77.0345471483,77.7394396221,78.3697603882,77.0034821879,78.4868896234,Empirical range across reference draws; not a confidence interval,4,0.3782974489
inworld,Overall TTSDS2,50,77.8013616566,77.3301008931,77.7829345366,78.3422477603,77.1701334036,78.4215536884,Empirical range across reference draws; not a confidence interval,3,0.304667985543
openai,Overall TTSDS2,50,79.2356084762,78.4271247049,79.2621244153,79.8849536409,78.3174709851,79.9245499853,Empirical range across reference draws; not a confidence interval,2,0.343568876792
