anchor,feature,cohort,conversations_per_split,hsc_splits,mean_distance_to_hsc,sd_distance_to_hsc,mean_distance_to_second_anchor,sd_distance_to_second_anchor,mean_cds
hsc_msc,allosaurus_rate,hsc,34,50,0.22578455263480485,0.11195319339432802,0.4012691126176128,0.11984781428413331,64.45675062987249
hsc_msc,allosaurus_rate,lsc,34,50,0.35579567644976373,0.10585802172581603,0.13938500154848404,0.0,29.607635752475193
hsc_msc,allosaurus_rate,hh,76,50,0.47075488121498515,0.06279352674777325,0.679071473705236,0.0,59.22571483994848
hsc_msc,allosaurus_rate,hai_human,296,50,0.5575137957997199,0.05168016338928546,0.6963180902475599,0.0,55.626058377967745
hsc_msc,allosaurus_rate,hai_ai,296,50,3.0517938017266077,0.11663404017833859,2.663696062806597,0.0,46.624022636186766
hsc_behavior_sd,allosaurus_rate,hsc,34,50,0.22578455263480485,0.11195319339432802,1.2051963254216356,0.10838783032567333,84.55463215183953
hsc_behavior_sd,allosaurus_rate,lsc,34,50,0.35579567644976373,0.10585802172581603,1.0073903151709966,0.0,74.34642330140186
hsc_behavior_sd,allosaurus_rate,hh,76,50,0.47075488121498515,0.06279352674777325,1.2574922509764928,0.0,72.85311399900796
hsc_behavior_sd,allosaurus_rate,hai_human,296,50,0.5575137957997199,0.05168016338928546,1.1151621351857859,2.2429892266911074e-16,66.73086043063971
hsc_behavior_sd,allosaurus_rate,hai_ai,296,50,3.0517938017266077,0.11663404017833859,1.9637452133215052,0.0,39.17415504025257
hsc_msc,sylber_rate,hsc,34,50,0.0679920987321759,0.03324767936617422,0.09428296478021983,0.03388113431396065,58.58196573623429
hsc_msc,sylber_rate,lsc,34,50,0.09583417714307335,0.029693161081598026,0.0802592461706596,1.401868266681942e-17,46.81651143491544
hsc_msc,sylber_rate,hh,76,50,0.11116111021258261,0.029664325525873197,0.19129381878667867,0.0,63.850191891942565
hsc_msc,sylber_rate,hai_human,296,50,0.131449070204963,0.0325404599057063,0.2127178955341586,2.803736533363884e-17,62.36459911150068
hsc_msc,sylber_rate,hai_ai,296,50,0.575734286296346,0.03262637701269771,0.4887916294015763,1.1214946133455537e-16,45.95859875717069
hsc_behavior_sd,sylber_rate,hsc,34,50,0.0679920987321759,0.03324767936617422,0.1847571349002054,0.020065618297921847,74.15877591068794
hsc_behavior_sd,sylber_rate,lsc,34,50,0.09583417714307335,0.029693161081598026,0.2589922532435756,5.607473066727768e-17,73.47829206661551
hsc_behavior_sd,sylber_rate,hh,76,50,0.11116111021258261,0.029664325525873197,0.18320554626142638,0.0,62.864414010070284
hsc_behavior_sd,sylber_rate,hai_human,296,50,0.131449070204963,0.0325404599057063,0.1747085726374696,2.803736533363884e-17,57.7207801619292
hsc_behavior_sd,sylber_rate,hai_ai,296,50,0.575734286296346,0.03262637701269771,0.6274522853176836,1.1214946133455537e-16,52.18674968093235
hsc_msc,sylber_duration,hsc,34,50,0.008580095431855261,0.0021988511331455223,0.011116427740433728,0.001746522034555133,56.82453866329948
hsc_msc,sylber_duration,lsc,34,50,0.010920001557718318,0.001477201474464726,0.008845268437084596,0.0,45.00070751075637
hsc_msc,sylber_duration,hh,76,50,0.01282599764196208,0.0017920763501826711,0.01574940642736397,3.504670666704855e-18,55.33301358575398
hsc_msc,sylber_duration,hai_human,296,50,0.010585742650535059,0.0012924950409633625,0.01353789708070042,0.0,56.27618459871044
hsc_msc,sylber_duration,hai_ai,296,50,0.041694658330062646,0.0017323375947376066,0.036026266096857724,0.0,46.376053523093944
hsc_behavior_sd,sylber_duration,hsc,34,50,0.008580095431855261,0.0021988511331455223,0.020374726282263795,0.0016999018421405858,70.7009822583375
hsc_behavior_sd,sylber_duration,lsc,34,50,0.010920001557718318,0.001477201474464726,0.02125402434799975,0.0,66.19701440927051
hsc_behavior_sd,sylber_duration,hh,76,50,0.01282599764196208,0.0017920763501826711,0.024698569424094163,0.0,65.96937598291093
hsc_behavior_sd,sylber_duration,hai_human,296,50,0.010585742650535059,0.0012924950409633625,0.02094485714974772,0.0,66.53610366286101
hsc_behavior_sd,sylber_duration,hai_ai,296,50,0.041694658330062646,0.0017323375947376066,0.02462000138701762,3.504670666704855e-18,37.15101860970308
